Designator,Footprint,Quantity,Value,LCSC Part #
A1,ADA3708_RPI-ZERO,1,ADA3708,
"C1, C2, C3, C7",0805,4,0.1uF,
C6,CAPAE660X800N,1,100Uf,
F1,6vfuse,1,Polyfuse,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,GCT_USB4125-GF-A_REVA2,1,USB4125-GF-A_REVA2,
"M1, M2, M3, M4, M5, M6",PinHeader_1x03_P2.54mm_Vertical,6,Motor_Servo,
"Q1, Q3, Q4, Q6",TRANS_MMBT2907A-13,4,Q_PNP_EBC,
"Q2, Q5",SOT91P240X110-3N,2,Q_NMOS_GSD,
"Q8, Q9","SSM3J338R,LF",2,Q_PMOS_GSD,
"R1, R10, R11, R3, R7, R8, R9",0805,7,R_10K,
"R2, R4",0805,2,R_47K,
"R5, R6",0805,2,R_5.1K,
SW1,SW_TS04-66-65-BK-160-SMT,1,SW_Push,
U1,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685PW,
